ID_Entidad,Distrito,ID_Circunscripcion,Porcentaje1,Porcentaje2,Porcentaje3,Promedio1
15,17,5,0.27645125010814087,0.12307617468876407,0.9906458171122069,3.639599013755515
15,18,5,0.3575245797653029,0.1476451536013236,0.967871868062163,3.7331668252457977
15,19,5,0.20967875973000674,0.09266950229391543,0.9931578315589248,3.341914514446117
15,2,5,0.30731387890795525,0.10551110889397444,0.989531213271097,3.544057893146177
15,20,5,0.2439213195450666,0.10861312343271107,0.9953454675373653,3.538248546078879
15,21,5,0.5061215957955089,0.14497473870292096,0.939878961618092,3.8746317088708393
15,22,5,0.24667400933416797,0.11073011335803735,0.9868465884329216,3.416868061773492
15,23,5,0.4750853679748794,0.15804631462251503,0.9601494053994672,4.139618979612388
15,24,5,0.33126039418279607,0.13342880088242978,0.9962050175153038,3.5228760482643926
15,25,5,0.4114602849879989,0.17817102581034136,0.9873811284066396,3.868565236325336
15,26,5,0.4564002834682005,0.16407223972618265,0.9506897176854492,3.9465365789343574
15,27,5,0.2949462548500239,0.0983761175595447,0.9833458887187837,3.7724721148939273
15,28,5,0.4679495857911872,0.14347134305343437,0.9729619959384972,3.6190052541662636
15,29,5,0.2597330946035976,0.13380837589955433,0.9920261492338441,3.6047426715522985
15,3,5,0.6467690059782076,0.2471829770446532,0.861244999599077,4.026942026532194
15,30,5,0.4111737751145576,0.15489862114741576,0.9570937610151569,3.833433204088826
15,31,5,0.30032025039642646,0.14282532154918445,0.9907137749126825,3.6438173018126796
15,32,5,0.39860695945428065,0.1855454596131334,0.9731643289645129,3.749338928489308
15,33,5,0.4169297782707083,0.14221470772379557,0.9142867364918652,3.8010786830407057
15,34,5,0.275512721271872,0.09254342014885208,0.9875126532209358,3.6276678093553025
15,35,5,0.6277708896904118,0.2702757715036113,0.9210343402464682,4.031268785692816
15,36,5,0.728121897955132,0.36440778279203967,0.8489775660115148,3.8597776454238635
15,37,5,0.34945005181617883,0.12308801202324904,0.9667766853321025,3.728343885255467
15,38,5,0.4307410948857676,0.13482830150954714,0.8905485568933985,3.8707377528569706
